#step  PE  KE  vx2 vy2 vz2
7200 -1.341339e+01 1.266229e-03 4.205061e-04 4.158824e-04 4.298403e-04
7300 -1.353551e+01 1.266485e-03 4.209092e-04 4.176392e-04 4.279364e-04
7400 -1.411632e+01 1.267713e-03 4.199121e-04 4.244689e-04 4.233324e-04
7500 -1.467308e+01 1.268879e-03 4.194084e-04 4.244892e-04 4.249815e-04
7600 -1.609853e+01 1.271863e-03 4.233018e-04 4.237965e-04 4.247646e-04
7700 -1.466455e+01 1.268861e-03 4.272081e-04 4.254008e-04 4.162524e-04
7800 -1.939090e+01 1.278756e-03 4.299596e-04 4.292218e-04 4.195743e-04
7900 -1.593919e+01 1.271529e-03 4.261477e-04 4.294114e-04 4.159703e-04
8000 -1.996856e+01 1.279964e-03 4.359162e-04 4.316943e-04 4.123539e-04
8100 -1.906178e+01 1.278067e-03 4.315585e-04 4.343864e-04 4.121220e-04
8200 -1.863874e+01 1.277181e-03 4.299377e-04 4.306768e-04 4.165664e-04
8300 -1.720668e+01 1.274183e-03 4.294508e-04 4.290194e-04 4.157127e-04
8400 -1.869660e+01 1.277302e-03 4.283967e-04 4.237884e-04 4.251169e-04
8500 -1.773383e+01 1.275287e-03 4.270002e-04 4.230695e-04 4.252173e-04
8600 -1.619186e+01 1.272057e-03 4.261595e-04 4.227951e-04 4.231028e-04
8700 -1.574786e+01 1.271129e-03 4.250329e-04 4.236829e-04 4.224128e-04
8800 -1.571014e+01 1.271050e-03 4.259109e-04 4.242399e-04 4.208989e-04
8900 -1.481658e+01 1.269179e-03 4.287943e-04 4.227585e-04 4.176261e-04
9000 -1.363480e+01 1.266704e-03 4.312178e-04 4.130250e-04 4.224614e-04
9100 -1.644257e+01 1.272582e-03 4.381284e-04 4.122115e-04 4.222421e-04
9200 -1.501337e+01 1.269590e-03 4.359567e-04 4.118443e-04 4.217890e-04
9300 -1.592103e+01 1.271487e-03 4.343873e-04 4.139790e-04 4.231209e-04
9400 -1.456540e+01 1.268649e-03 4.321361e-04 4.199279e-04 4.165853e-04
9500 -1.630489e+01 1.272291e-03 4.359583e-04 4.229781e-04 4.133543e-04
9600 -1.613491e+01 1.271935e-03 4.383585e-04 4.206515e-04 4.129248e-04
9700 -1.832579e+01 1.276521e-03 4.401797e-04 4.220964e-04 4.142451e-04
9800 -1.730728e+01 1.274389e-03 4.349223e-04 4.247670e-04 4.147001e-04
9900 -1.729057e+01 1.274354e-03 4.328440e-04 4.176924e-04 4.238174e-04
10000 -1.763785e+01 1.275082e-03 4.352920e-04 4.163681e-04 4.234223e-04
10100 -1.704458e+01 1.273840e-03 4.358679e-04 4.179789e-04 4.199930e-04
10200 -1.781843e+01 1.275460e-03 4.384076e-04 4.200750e-04 4.169771e-04
10300 -2.096828e+01 1.282054e-03 4.379199e-04 4.174275e-04 4.267062e-04
10400 -1.923939e+01 1.278433e-03 4.341437e-04 4.149989e-04 4.292905e-04
10500 -1.884739e+01 1.277613e-03 4.266922e-04 4.142571e-04 4.366636e-04
10600 -1.904503e+01 1.278026e-03 4.255356e-04 4.146109e-04 4.378800e-04
10700 -1.903592e+01 1.278009e-03 4.258461e-04 4.151181e-04 4.370448e-04
10800 -1.796202e+01 1.275762e-03 4.278909e-04 4.103553e-04 4.375157e-04
10900 -1.491671e+01 1.269387e-03 4.257690e-04 4.166047e-04 4.270132e-04
11000 -1.521257e+01 1.270007e-03 4.268901e-04 4.216062e-04 4.215103e-04
11100 -1.322130e+01 1.265838e-03 4.264493e-04 4.151509e-04 4.242380e-04
11200 -1.247345e+01 1.264273e-03 4.285638e-04 4.128270e-04 4.228822e-04
11300 -1.200897e+01 1.263301e-03 4.263663e-04 4.129882e-04 4.239462e-04
11400 -1.287157e+01 1.265106e-03 4.238792e-04 4.115436e-04 4.296831e-04
